NAME,TYPE,Rah,_m,_s,RA,DEd,_m_,s,Dec,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,A,Vmag,B,Vmag1,u_vm,ag,B-V,u_B-V,C,D,E,U-B,F,G,r_Fx,H,porb,r_Ppu,lse,cat,Name3
0050-727,T,0,52,6.1,0:52:6.1,-72,26,6,-72:26:6,302.9,-44.7,o,3,*4,95,,14,: -,0.3,-1,,0.03,,"7, 146",,<,1,-,5,95,,,,,"A,H,S,X                   O9 I",II-Ve    SMC X-3
J0050.7-7316,P,0,50,44.7,0:50:44.7,-73,16,5,-73:16:5,303,-43.8,o,1,Be star,141,,15.44,-,0.03,-0.9,5,,,"104,141",,,0.16,,(0.7-10 keV),788,,1.416,"323.        104,788",,"R,AS                      Be",J0051-733
J0051-722,TP,0,50,55.8,0:50:55.8,-72,13,55,-72:13:55,303,-44.9,x,10,Be star,657,,14.9,,,,,,,657,,,2.6,,,424,,120,"91.1       334,461",,"X,R,B                     Be",
J0051.8-7231,TP,0,51,53,0:51:53,-72,31,45,-72:31:45,302.9,-44.6,x,11,*2,657,,,,,,,,,,,,0.01,-,9,354,,,8.9       330,,"E, X,R ,B                 Be","2E0050.1-7247 ,"
J0051.9-7311,T,0,51,51.4,0:51:51.4,-73,10,38,-73:10:38,302.9,-43.9,x,,B[e  star,141,,14.4,,,,,,,141,,,,,,,,,,,R                         B[e,SMC 25
J0052.1-7319,TP,0,52,13.9,0:52:13.9,-73,19,13,-73:19:13,302.8,-43.8,x,1.9,SMC SC6 99923,702,,14.66,-7,0.005,,,,,"702,332",,,0.024,-,4.7,399,,,15.3       399,,"E,X,R                     Be",
J0052.9-7158,TU,0,52,54,0:52:54,-71,58,8,-71:58:8,302.8,-45.1,x,,Be star,141,,15.46,-,0.07,-0.9,9,,,141,,,2,,(0.15-2.4 keV),141,,,,,R                         Be,SMC 32
0053-739,T,0,54,33.4,0:54:33.4,-73,41,4,-73:41:4,302.6,-43.4,o,,*5,95,,16,-,0.3,-0.5,,0.03,,506,,<,1,-,7,95,,,,,"A,S                       B1.5",Ve       SMC X-2
0053+604,,0,56,42.3,0:56:42.3,60,43,0,60:43:0,123.6,-2.1,o,,{gamma} Cas,177,,1.6,- 3.0   -,0.15,-1,8,0.05,,489,,,5,-,11,63,,,,,"U,A,H,S,AS,B              B0.5",Ve
J0053.8-7226,TP,0,53,55,0:53:55,-72,26,47,-72:26:47,302.7,-44.7,x,10,,,,,,,,,,,,,,1.4,,,132,,139,"46.63      132,425",,"X,R                       B1V",0053-724
J0054-720,TP,0,54,36,0:54:36,-72,4,0,-72:4:0,302.6,-45,x,10,,,,,,,,,,,,,,3.8,,,428,,,169.3       428,,"X ,B",
J0055-724,TP,0,54,56.17,0:54:56.17,-72,26,27.6,-72:26:27.6,302.6,-44.7,x,0.1,Be star,"621,657",,15.28,-,0.04,-0.7,8,-0.06,0.28,"104,279,621",,,1,,,458,,65,"58.969     429,458,610",,"X,B,R,E                   B0-B",1III-V   J0054.9-7226
J0058-72.0,P,0,57,48.4,0:57:48.4,-72,2,42,-72:2:42,302.2,-45,x,7.9,,,,,,,,,,,,,,0.1,,(0.7-10 keV),788,,,280.4       788,,"AS,R",J0058-7203
J0058.2-7231,,0,58,12.7,0:58:12.7,-72,30,45,-72:30:45,302.2,-44.6,x,,Be star,621,,15,,,,,,,621,,,,,,,,,,,R                         Be,
J0059.2-7138,TUP,0,59,11.3,0:59:11.3,-71,38,45,-71:38:45,302.1,-45.4,x,2.8,Be star,650,,14.1,,0.11,,,0.03,,650,,,3,,(0.2-2 keV),299,,,2.7632    299,,"R,E                       B1II",Ie
J0101.0-7206,T,1,1,1.1,1:1:1.1,-72,6,57,-72:6:57,301.9,-45,x,2.8,Be star,657,,,,,,,,,,,,0.1,,,354,,,,,"R,E                       Be",
J0103-722,P,1,3,13.9,1:3:13.9,-72,9,14,-72:9:14,301.6,-44.9,o,0.1,Be star,300,,14.8,,0.089,,,0.23,,"104,300",,,0.01,-,0.1  (0.2-2 keV),"300,334",,,345.2       334,,"R,A,B                     O9-B",1(III-V) J0103.2-7209
0103-762,T,1,9,6.1,1:9:6.1,-74,44,40,-74:44:40,301.9,-41.1,o,,Be star,,,17,,,,,0.03,,698,,,2.3,,,781,,,,,"H,V,R                     Be",0107-750
J0105-722,TP,1,5,8.9,1:5:8.9,-72,11,44,-72:11:44,301.4,-44.9,x,6.6,,203,,,,,,,,,,,,0.1,,,203,,,3.343     789,,"AS,R",J0105.1-7211
J0106.2-7205,,1,6,15.1,1:6:15.1,-72,5,25,-72:5:25,301.3,-45,x,15,Be star,300,,16.7,,,,,-0.05,0.25,300,,,0.005,,(0.2-2 keV),300,,,,,R                         B2-B,5 III-Ve
J0111.2-7317,TP,1,11,8.4,1:11:8.4,-73,16,46,-73:16:46,301,-43.7,o,1,Be star,113,,15.32,,0.08,,,,,113,,,15,,,87,,,31.0294    86,,"X,AS,C                    B0-2",III-Ve
0114+650,P,1,18,2.8,1:18:2.8,65,17,19,65:17:19,125.7,2.6,o,3,V662 Cas,177,,11,,1.2,0.1,,1.4,,"3,148",,,4,,,63,,11.6,"10008.        148,210,785",,"A,S,X                     B0.5","Ib                     ,LS I+65 010"
0115+634,TP,1,18,31.9,1:18:31.9,63,44,24,63:44:24,125.9,1,o,,V635 Cas,347,,14.5,-16.3,1.4,0.3,,1.7,,"345,473,513",,<,2,-,350,63,,24.3,"3.61      508,569",,"U,M,H,S,C,X               B0.2",V
0115-737,P,1,17,5.2,1:17:5.2,-73,26,35,-73:26:35,300.4,-43.6,o,3,Sk 160,609,,13.3,-,0.14,-0.9,8,0.03,,"312,753",,,0.5,-,57,63,,3.89,"0.71      508,566,623",,"U,M,A                     B0Ib",SMC X-1
J0117.6-7330,TP,1,17,41.4,1:17:41.4,-73,30,49,-73:30:49,300.4,-43.5,x,0.6,Be star,,,14.19,-,0.07,,,0.03,,"90,649",,,10,,,439,,,22.07      439,,"C,R                       B0.5",IIIe
J0146.9+6121,,1,43,32.6,1:43:32.6,61,6,26,61:6:26,129.2,-1.2,o,2,LS I+61 235,267,,11.33,,0.82,-0.3,9,0.87,,"143,410,579,640",,,1,-,3.   (0.1-2.4 keV),499,,,1404.2       254,,"R,AS,X,B                  B1Ve",
0236+610,,2,40,31.6,2:40:31.6,61,13,45,61:13:45,135.7,1.1,"o,r",,LS I+61 303,"70,267",,10.7,,0.8,-0.3,,0.75,,"180,308,600",,,0.2,,(0.2-5 keV),48,,26.45,677,,E                         B0e,",V615 Cas"
0331+530,TP,3,34,59.9,3:34:59.9,53,10,23,53:10:23,146.1,-2.2,o,,BQ Cam,381,,15.1,-15.4,1.6   -2,0.3,,1.9,,"128,290,513",,<,0.5,-,1250,"655,683",,34.25,"4.4       508,655,771",,"V,T,Exo                   O8.5",Ve
