NAME,TYPE,Rah,_m,_s,RA,DEd,_m_,s,Dec,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,A,Vmag,B,Vmag1,u_vm,ag,B-V,u_B-V,C,D,E,U-B,F,G,r_Fx,H,porb,r_Ppu,lse,cat,Name3
1833-076,PT,18,36,28.9,18:36:28.9,-7,36,21,-7:36:21,24.5,-0.2,x,30,,237,,,,,,,,,,,,1.6,-,200,"388,563,743",,,"111.        392,508",,"A,H",Sct X-1
1839-06,T,18,41,42,18:41:42,-5,51,0,-5:51:0,26.6,-0.5,x,1800,,,,,,,,,,,,,,1,,,388,,,,,G,
1839-04,PT,18,41,48,18:41:48,-4,27,0,-4:27:0,27.9,0.1,x,1440,,,,,,,,,,,,,,2.5,,,388,,,81.1       388,,G,
1843+009,PT,18,45,30,18:45:30,0,57,0,0:57:0,33.1,1.7,x,600,,,,,,,,,,,,,<,0.4,-,33,388,,,29.5       388,,"G,C,X,B",
1845-03,T,18,47,24,18:47:24,-3,9,0,-3:9:0,29.7,-0.5,x,1440,,,,,,,,,,,,,,1,,,388,,,,,G,
1845-024,PT,18,48,17.7,18:48:17.7,-2,25,13,-2:25:13,30.4,-0.4,x,30,,237,,,,,,,,,,,,1,-,44,"63,388",,241,"94.8       792,388",,"A,H,S,G,C,B",
1845.0-0433,T,18,47,41,18:47:41,-4,30,12,-4:30:12,28.8,-1.22,x,60,,111,,13.96,,2.2,1,4,2.45,,111,,,45,,(0.7-10 keV),786,,,,,AS                        O9.5,I
1855-02,PT,18,58,0,18:58:0,-2,44,0,-2:44:0,31.3,-2.7,x,600,,,,,,,,,,,,,,2,,,388,,,,,G,
J1855-026,P,18,55,42,18:55:42,-2,37,0,-2:37:0,31.1,-2.15,x,360,,,,,,,,,,,,,,6,,,460,,6.1,"361.        134,460",,X,
J1858+034,TP,18,58,36,18:58:36,3,21,0,3:21:0,36.7,-0.07,x,150,,,,,,,,,,,,,,25,,,582,,,221.0       670,,X,
1901+03,T,19,4,12,19:4:12,3,10,30,3:10:30,37.2,-1.4,x,600,,,,,,,,,,,,,<,2,-,87,115,,,,,,
J1906+09,P,19,5,20,19:5:20,9,2,30,9:2:30,42.6,1.04,x,120,,,,,,,,,,,,,,0.7,,,457,,,89.17      457,,X,
1907+097,PT,19,9,37.9,19:9:37.9,9,49,49,9:49:49,43.7,0.5,o,,star,625,,16.4,,3.2,,,3.3,,"625,718",,,4,-,275,63,,8.38,"438.        441,508",,"U,M,A,H                   BI",
